ifam,ID,OnlineManual13,isOut,whyOut,sex,zygosity,tn_BFI1,tn_BFI2,tn_BFI3,tn_BFI4,tn_BFI5,tn_BFI6,tn_BFI7,tn_BFI8,tn_BFI9,tn_BFI10,tn_BFI11,tn_BFI12,tn_BFI13,tn_BFI14,tn_BFI15,tn_BFI16,tn_BFI17,tn_BFI18,tn_BFI19,tn_BFI20,tn_BFI21,tn_BFI22,tn_BFI23,tn_BFI24,tn_BFI25,tn_BFI26,tn_BFI27,tn_BFI28,tn_BFI29,tn_BFI30,tn_BFI31,tn_BFI32,tn_BFI33,tn_BFI34,tn_BFI35,tn_BFI36,tn_BFI37,tn_BFI38,tn_BFI39,tn_BFI40,tn_BFI41,tn_BFI42,tn_BFI43,tn_BFI44,EMPQ_emotional,EMPQ_cognitive
bd10633,1,1,0, ,2,1,3,2,4,2,5,5,5,2,4,5,4,2,4,4,5,3,4,2,2,5,4,3,2,4,5,3,1,4,4,5,4,5,5,4,2,4,1,3,1,5,1,3,2,5,3.727272727,5
bd10633,4,1,0, ,2,1,4,2,3,1,4,2,4,2,3,5,5,1,5,5,4,4,4,1,4,5,2,4,1,5,4,5,1,4,1,5,1,4,5,5,3,4,1,4,2,4,4,5,2,4,3.272727273,4.555555556
bd10655,1,0,0, ,1,2,2,2,4,2,4,4,5,3,3,4,2,1,3,4,3,3,4,3,3,5,4,4,4,2,4,2,2,4,2,4,4,3, ,3,4,3,1,2,1,3,5,3,3,4,3.4,3.222222222
bd10655,4,0,0, ,1,2,5,3,3,1,4,4,4,3,3,4,4,2,4,4,4,4,2,3,4,4,3,4,3,4,4,4,2,3,2,4,3,4,4,3,3,4,3,3,4,4,2,4,2,4,2.727272727,3.777777778
bd10666,1,0,0, ,1,2,4,3,4,1,5,1,4,4,1,4,5,1,5,5,2,4,2,1,4,3,1,4,4,4,4,5,1,5,4,1,4,4,4,1,4,5,4,5,4,2,1,5,1,1,3.090909091,4.222222222
bd10666,4,0,0, ,1,2,4,3,5,1,4,4,4,1,4,5,4,1,5,1,3,4,4,5,1,5,2,3,2,4,5,4,2,5,1,1,3,4,4,3,2,4,3,4,2,4,1,4,1,3,2.636363636,3.777777778
go5965,1,0,1,2,1,2,5,3,3,1,5,1,1,4,4,4,5,4,5,1,5,5,3,5,1,3,1,3,1,4,4,5,1,2,1,3,1,4,4,4,2,5,5,3,4,3,4,5,5,2,2.727272727,4
gu8916,1,0,1,3,1,1,3,3,3,1,4,4,5,4,3,5,5,2,4,4,4,4,5,4,4,4,3,4,3,2,4,5,3,5,4,5,3,5,5,4,4,4,4,4,4,5,4,5,5,4,4.181818182,4.222222222
gu8916,4,0,1,3,1,1,4,3,3,3,1,4,4,4,3,4,3,1,2,4,4,4,5,5,4,2,4,4,5,3,2,3,4,3,4,4,4,4,3,3,4,4,4,2,3,2,1,2,5,4,3.909090909,3.888888889
gw9933,1,0,1,3,2,2,2,1,4,1,4,5,5,4,3,4,5,1,5,3,4,5,4,2,5,5,2,5,2,2,4,5,1,4,1,5,3,5,5,4,4,5,1,4,1,5,2,5,4,3,3.363636364,3.888888889
gw9933,4,0,1,3,2,2,1,3,4,5,3,4,4,4,2,4,1,2,2,5,4,1,4,4,5,4,5,4,5,4,4,5,5,2,5,5,5,3,2,4,3,1,4,2,5,4,1,2,4,4,1.636363636,3.777777778
